x,y,ds,dist,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-485.516676388629,73.4389536464685,1.9999305100121,244.05349688042,-3.06984338640989,5.55555534362793,0,"array('q', [27670, 27488])",,,,
-487.51151103074,73.2955796104674,1.99998034079474,246.053477221215,-3.05525465387075,5.55555534362793,0,"array('q', [27670, 27488])",,,,
-489.504453745626,73.1230841015343,2.0003938025847,248.053871023799,-3.05608254592133,5.55555534362793,0,"array('q', [27488])",,,,
-491.497494009556,72.9522424139412,2.00034906350515,250.054220087304,-3.09644731388384,5.55555534362793,0,"array('q', [27488])",,,,
-493.495755152877,72.861968898602,2.00029920373882,252.054519291043,-3.08520847384383,2.77777767181396,0,"array('q', [27488, 32865])",,,,
-495.492379032775,72.7492714452168,1.99980189863356,254.054321189677,-2.89039809328073,2.77777767181396,0,"array('q', [27488, 32865])",,,,
-497.445637167371,72.2480365873447,2.01654499655018,256.070866186227,-2.55739671331582,2.77777767181396,0,"array('q', [32865])",,,,
-499.122545377279,71.1392949873454,2.01030571805033,258.081171904277,-2.14778574878641,2.77777767181396,0,"array('q', [32865])",,,,
-500.216154592127,69.4590786476037,2.00477132439973,260.085943228677,-1.83050840392462,2.77777767181396,0,"array('q', [32865])",,,,
-500.736717302139,67.4999641626289,2.02709523710485,262.113038465782,-1.61960903805657,2.77777767181396,0,"array('q', [32865])",,,,
-500.834353583943,65.5013305772851,2.00101700442268,264.114055470205,-1.51449867500339,2.77777767181396,0,"array('q', [32865])",,,,
-500.721780693631,63.5038416744658,2.00065853471288,266.114714004917,-1.47901063576189,2.77777767181396,0,"array('q', [32865, 32874])",,,,
-500.538466970042,61.5122605273479,1.99999984670287,268.11471385162,-1.48219103604831,2.77777767181396,0,"array('q', [32865, 32874])",,,,
-500.361489995258,59.5201267844247,1.99997942471839,270.114693276339,-1.48971215179708,2.77777767181396,0,"array('q', [32874])",,,,
-500.199496998826,57.5266696722888,2.00002824700508,272.114721523344,-1.4872668189557,2.77777767181396,0,"array('q', [32874])",,,,
