station,node,x,y,z,qx,qy,qz,qw
D1001N,HD1001N02,-187.960845947266,-32.1655235290527,1.7652,0,0,-0.856166611504984,0.516699848407248
D1001N,HD1001N03,-190.379425048828,-62.8679275512695,1.7652,0,0,-0.845891247269599,0.533355414140216
D1001N,HD1001N04,-222.200546264648,-80.3048400878906,1.7652,0,0,-0.999419473266211,0.0340692890487843
D1001N,HD1001N05,-235.744445800781,-84.2531890869141,1.7652,0,0,-0.971935790119637,0.235246296218489
P04S,HP04S01,-261.460113525391,-88.8673324584961,1.7652,0,0,-0.99840208999618,0.0565089965515272
P04S,HP04S02,-268.610137939453,-83.5967407226562,1.7652,0,0,0.719051531394289,0.694956757791107
P04S,HP04S03,-267.715026855469,-55.4543190002441,1.7652,0,0,0.726168307271646,0.687516973982629
P0401N,HP0401N01,-269.542663574219,-30.3257904052734,1.7652,0,0,0.724855726839406,0.68890070058617
P0401N,HP0401N02,-273.893981933594,-10.4748659133911,1.7652,0,0,0.880941362742669,0.473225438252308
D18A,HD18A01,-274.978729248047,9.25012588500977,1.7652,0,0,0.580785718826725,0.814056477651843
D18A,HD18A02,-276.625305175781,23.4003238677978,1.7652,0,0,0.893255647585124,0.449549049667864
D18S,HD18S01,-272.550445556641,7.26135969161987,1.7652,0,0,0.733331572040792,0.679871168272475
D19A,HD19A01,-278.595642089844,47.8068542480469,1.75653465580572,0,0,0.57350641614062,0.819201068508545
D19S,HD19S01,-275.558227539062,41.7225799560547,1.76019536533123,0,0,0.73498986062154,0.678078096374989
D1901N,HD1901N01,-280.824279785156,86.8988800048828,1.74377688362415,0,0,0.876306030205106,0.481754856152139
D1901N,HD1901N02,-298.859222412109,89.1111602783203,1.74451600169091,0,0,-0.998838650998069,0.0481803826505939
D1901N,HD1901N03,-325.190277099609,87.1152954101563,1.77269420400927,0,0,-0.999969101351961,0.00786106489938084
D1901N,HD1901N04,-343.7783203125,85.5041656494141,1.7710966112851,0,0,-0.999921034198663,0.0125668360010268
D13S,HD13S01,-302.405181884766,-92.1192092895508,1.78008577664939,0,0,-0.999209239685906,0.0397604744226537
